scene,keep_ratio,method,lambda,mean_psnr,mean_ssim,mean_lpips,per_pose_psnr,kept_count,mask_hash,path_use_pose_meta,path_near,path_far,path_aspect,file_size_mb,estimated_vram_mb
counter,0.5,path_aware_v5_sqrt_clamp,,29.79040986327188,0.9719278037548064,0.0014404866242936,"[28.225690721552308, 28.850639384098933, 29.347491929320753, 28.523273146904003, 32.37046788920915, 27.655868058783668, 28.200752445400838, 29.580351094645316, 30.027475751685127, 30.188580805270515, 27.86683976080498, 32.38877293960517, 28.53567346148823, 28.263005273068487, 29.72944082938014, 29.286917526487063, 28.095738954889505, 27.575906077258992, 29.568648352851167, 29.165914859833784, 30.248697057530297, 34.34447782345117, 29.64753307861045, 31.270830530396534, 33.071151771817746, 31.114644274380865, 32.509236712896936, 28.590244668645326, 30.326414187884943, 29.14161653000378]",611478,73122c94b37e81a1,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
counter,0.5,path_aware_v5_weighted_sum,,29.71588749022704,0.9502554595470428,0.0047374789994164,"[54.40690162180769, 26.999027822890724, 26.226623367436623, 33.894228292098646, 23.48959965190759, 116.78801515639051, 35.99098466859567, 24.828890618557097, 40.69985234555111, 17.04311869391125, 19.75594137315526, 30.819620968511217, 23.60595953142491, 16.601579009610525, 24.37017768487634, 21.376238393070114, 18.05483437851875, 20.56012977637163, 40.18250618721834, 22.073593978195003, 20.790568914709006, 49.85518594959451, 24.095577918354607, 18.233353601530627, 20.14452849594603, 19.600029017228128, 20.930605499992943, 21.8862123597987, 25.885815999853143, 32.28692342970441]",611478,17c04147672255df,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
counter,0.5,combined_0.7,0.7,30.46075370287279,0.9798775851726532,0.0018529932800447,"[33.15214864450615, 33.07590706456916, 30.902311922599512, 33.64359087499294, 30.022114376369192, 31.47257592492735, 31.527837346878208, 32.07732973626659, 32.46850959785394, 28.386124537494844, 28.618449097436496, 34.855383811763915, 30.98171337890234, 26.372722592829003, 32.91189563927814, 30.595413544857482, 26.18686223429502, 25.94842236221112, 34.706267765163695, 27.12100297461734, 27.34070652258247, 41.247853916071726, 29.0620322911972, 26.506128762200923, 29.027462185628657, 26.377448909084503, 28.034661321680375, 27.3940931660548, 31.747311511731823, 32.05832907213869]",611478,cad881d7255b044e,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
counter,0.5,raster_importance,,39.55300685650236,0.9948688129583996,0.0005113901747487,"[45.32831604787988, 33.031285914210656, 31.717484249100085, 41.63191781184385, 28.734539044276154, 39.115415316634305, 37.96125387138424, 36.249403681954576, 45.38135868622264, 27.677542163039398, 40.78761307106407, 49.60393557690348, 40.90191965256417, 26.651374809036675, 46.930960586389396, 35.62423510098361, 30.380250061361377, 31.735682050532436, 49.096300482718604, 45.38004633173085, 44.741725952746464, 55.037913125678564, 46.48902381235832, 37.37739036123334, 41.06978093269915, 39.399089551914564, 37.52281528353416, 39.64879596849951, 47.04611744848844, 34.33671874808758]",611478,e441f5d7a4ca994f,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
counter,0.5,random,,24.135058872584334,0.90114453236262,0.0060411651579973,"[22.561607381118613, 25.21378740429233, 23.68330367356146, 23.263397848696616, 28.611771569012646, 22.62794632074989, 23.129218037453597, 24.81551845665209, 25.4570079709781, 20.840698008193105, 21.70747255298619, 27.908273980591424, 23.610513042384724, 22.234040193617226, 25.139744470717464, 24.441665574131292, 21.677307629073447, 21.900316357166787, 25.01397479909981, 23.236824747452673, 25.03220903455977, 29.055176065703282, 23.000872342136756, 24.04509557454322, 25.6912019402284, 24.059253753597165, 25.763803000049485, 23.037275640937537, 24.917348254264358, 22.375140553580515]",611478,9d4c3b2c582f5b4c,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
truck,0.5,visibility,,20.294837245255607,0.875968748703599,0.0095749952306505,"[20.760634012972695, 19.859651753221453, 18.84448851228328, 17.28357839988719, 17.37157869409362, 19.490709880362328, 17.922366160528814, 18.897667551808386, 18.652122597482897, 22.740956208179707, 22.892605756833497, 20.49639052060535, 20.655371581613228, 22.21276144070757, 22.092191956783278, 22.336959725333983, 21.686574512693166, 19.6036102952038, 16.771028099347394, 19.53336401077223, 19.892086932919682, 21.97207221722952, 23.296042301872983, 22.78685189559253, 21.781734851860705, 21.182280109801912, 18.59103550219126, 18.967476587696762, 19.050502218763924, 19.299712546337908, 20.69003300656537, 21.82035200663306]",1270613,627015b61742ce87,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,path_aware_v5_pure_sum,,28.25131256466254,0.9729027599096298,0.002459598016685,"[27.003163454303156, 27.455304222219297, 27.664061613746227, 22.36153537697223, 24.041664447111813, 28.13062684984169, 23.39444255425694, 28.29002321941923, 25.1110249261548, 33.09754603960536, 29.60900114328787, 25.50717621435311, 25.627050030534548, 26.333508233771973, 25.680256513412125, 26.644738626507273, 27.160841004865006, 27.23253180554023, 21.536517258422343, 33.511496423977, 31.442397308904113, 31.680624975822308, 29.748392821777465, 28.218787008890768, 34.374951263084185, 27.280044384610598, 28.157196990620065, 37.342120151486895, 29.17535367699356, 31.344925121992034, 31.810800943795403, 28.073897462921682]",1270613,90613aab19e92ff1,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,path_aware_v5_linear_falloff,,28.19851164949283,0.9723843317478896,0.002505061528609,"[27.139579344234072, 27.281482336682174, 27.056376806082866, 22.083691690239043, 23.81574169425814, 27.62330069341338, 23.08582855300674, 27.97195741376658, 24.844544992670556, 32.84131766414657, 29.502035015094318, 25.306710040952765, 25.92334619345195, 26.780700337206188, 26.50138656880837, 27.25771750213452, 27.372744878844806, 27.490712636735594, 21.227760571326975, 33.14105541145424, 31.28220541438423, 31.502768093481173, 30.204503472388478, 28.972485704530232, 34.53356502714372, 27.349624383267738, 27.45378931652666, 36.95048537491827, 28.770003853976057, 31.136313433550047, 31.583581044461354, 28.36505732063265]",1270613,544358e575eb855e,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,path_aware_v5_sqrt_clamp,,28.29552491329452,0.972397305071354,0.0024775665906418,"[27.309772626269854, 27.35931550051424, 27.005604471497044, 22.06346017938458, 23.80974611057285, 27.566078147778406, 23.067331123316762, 27.968079513929744, 24.868576370142023, 32.87763624364436, 29.63272089409984, 25.349197604638682, 26.16794184279754, 27.098823665287814, 26.999881584637638, 27.62799863591976, 27.59250933368044, 27.70311650774758, 21.215749171672545, 33.01009047905562, 31.252978180921215, 31.548673629807887, 30.49647532741496, 29.482641362655365, 34.5597658738928, 27.505157199013773, 27.37062095960149, 36.745008303487296, 28.763711675253383, 31.227598162887244, 31.642386988133417, 28.5681495557685]",1270613,d6d7888ddcda007e,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,path_aware_v5_weighted_sum,,20.02500883465843,0.9085521399974824,0.0118536603849861,"[13.834885677885907, 15.077114750866548, 21.747285326037243, 26.868354094283152, 26.472984736190615, 24.12398123234457, 26.982176140315378, 30.06810661499888, 18.241732386363143, 20.58529383108768, 15.845305900120813, 16.285267866725512, 13.568322177243788, 11.455904960120318, 11.55929236391465, 11.676065307077014, 14.437469379989082, 13.870762650632802, 24.81664858798797, 35.849007471088896, 25.241325032753643, 18.4090942556238, 13.678428370821955, 14.774511070092185, 24.348777018868567, 15.3424345070102, 26.026145632933474, 31.944981479907003, 28.454224185672704, 16.568407079550166, 17.810575703586323, 14.835416916975806]",1270613,12c6a6cb0caf3f87,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,combined_0.7,0.7,23.166555493521848,0.9432842191308736,0.0059434093855088,"[21.566925715581032, 21.985126163589037, 22.86865388953073, 19.809902058147017, 20.83040810345162, 23.958864758141, 20.821565746121387, 23.602090581119654, 21.716731907995968, 25.330711875113366, 22.71890227800078, 21.37936918390202, 20.505199462366427, 20.930337596719355, 19.845793576491605, 20.987743989411506, 22.073584105558687, 21.992725980927176, 18.73960037481704, 28.472153120322282, 28.404390030494106, 25.092072299304228, 23.783787906559223, 22.408667955465205, 29.670636471627418, 22.92801382732099, 23.772544382497458, 31.398500067579754, 23.65571837050933, 24.138478875901196, 24.427923671536206, 21.512651466596346]",1270613,edbf693284681cf9,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,raster_importance,,31.67623102888254,0.9836420677602292,0.0014401870839719,"[26.752182611696668, 26.56317237525981, 20.958018270223143, 33.31499802056171, 32.85903709326331, 35.27081737838716, 34.5009834461226, 33.448540778387816, 31.314892180313137, 38.698693145146244, 31.386873150285467, 26.536815542492644, 23.078002215240623, 25.407539603719208, 24.429435871222587, 26.316512429019497, 33.07048984993292, 32.03571096920083, 30.52119854839917, 36.96287787051413, 36.343069817992784, 36.167299082018445, 32.901458797948145, 30.74776092674562, 38.62672604789222, 34.68151268179514, 35.4051517372396, 33.09698440443437, 31.75144830588306, 33.64972083039773, 36.269917818269946, 30.5715511242356]",1270613,001f5931105325d0,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
truck,0.5,random,,18.35899211609749,0.7443123199045658,0.0210675810521934,"[19.00129689339872, 18.25293810098254, 18.217144157354234, 18.835110244929997, 18.831190758262878, 18.915983345233368, 19.04642708786781, 18.18311160157321, 16.9201830337925, 18.90361187139902, 16.990349072497562, 18.350745113493048, 18.266834617368282, 17.921852362236198, 17.906117453651053, 17.510469521068842, 18.106305226022496, 18.47945438557898, 18.310212090970342, 18.748295298221983, 17.835965888646804, 19.140901976022345, 19.413391178420312, 18.463465714688702, 19.746934914892655, 18.557617459493642, 18.390406042416615, 19.773789113849777, 18.055921972449855, 16.22738466606901, 18.86209186857929, 17.32224468368747]",1270613,fe2cb479811f8b60,False,0.1,150.0,1.7777777777777777,22.0615177154541,32.76287841796875
train,0.5,visibility,,20.62929533824997,0.8587328258313631,0.0122741518578933,"[18.951669447891636, 18.620826905050897, 21.633130570168085, 19.26511723503173, 20.06977954609422, 20.147437023384974, 19.82302501660756, 21.306573529847874, 21.01937031586842, 20.824738974832968, 21.092120085325714, 19.61840558112459, 27.12862301190053, 21.352289315890083, 21.398178101634112, 23.79707955981604, 13.016545268995255, 21.939894683644575, 20.205737784426812, 22.485660049683624, 21.298737470594062, 19.46270727136834, 20.705003329752884, 17.48664738282406, 16.721924035830796, 23.35602305546616, 21.534479020531773, 20.948438396370616, 21.263176637068316, 24.77338983098437, 24.06551559440674, 25.614371722985524, 26.7700566910868, 9.083345693358844, 21.600250679143112, 20.793016109574516, 15.466953366569813, 19.27298455836237]",513254,65035eace0ae19bc,False,0.1,150.0,1.7777777777777777,9.060588836669922,13.27423095703125
train,0.5,path_aware_v5_pure_sum,,22.798960481287253,0.8987860271805211,0.0088208991709459,"[19.019739699898906, 19.526918606642745, 25.36219202546671, 24.307782413545812, 24.5942888403753, 24.070556190367, 21.227384646804758, 22.10138379795722, 19.97199599775563, 22.641926942115113, 24.37878765392589, 25.655996945829056, 26.527535741064714, 21.85907663140311, 22.469614992527198, 20.092420539581628, 12.966026704407717, 22.395686736460526, 20.043946699912137, 24.222650263431177, 19.809647184356187, 22.241023966384095, 25.971975686936176, 18.329720443311118, 25.69471640432688, 25.695877194537445, 25.52128008345345, 24.958182363805207, 23.370968471141083, 31.45940438333639, 24.619183536943254, 28.568812835345906, 27.663521805361043, 16.44922559350143, 21.345165365833974, 23.722530944260548, 16.474617842466447, 21.02873211414264]",513254,3a12e478591b9abd,False,0.1,150.0,1.7777777777777777,9.060588836669922,13.27423095703125
train,0.5,path_aware_v5_linear_falloff,,25.32420836637484,0.9349701655538458,0.0049018918132213,"[29.193786661147477, 23.766625154402522, 26.2570402951281, 24.481375462014103, 24.685755342944724, 24.964668174133614, 24.706010842771704, 24.641349646582718, 23.595010222630957, 30.76843275756442, 25.669487317491146, 29.10554193383063, 27.544193410411072, 27.446384767295136, 24.689959652668495, 22.865702325812002, 23.14092188738816, 22.13257811358836, 20.980716327056466, 24.34614271955934, 22.948377230526642, 23.638394719909847, 26.459108262126986, 20.155016777631264, 24.588801856303405, 30.91550228723646, 27.491372061950436, 25.802708453543413, 23.923017291103417, 32.66311202362764, 24.839115379753714, 28.552877936147784, 28.130185701514865, 19.521399704523898, 24.66080127298538, 24.793857664763998, 23.542483212972613, 24.712103071200882]",513254,859a4417e19ffb03,False,0.1,150.0,1.7777777777777777,9.060588836669922,13.27423095703125
train,0.5,path_aware_v5_sqrt_clamp,,25.39827249385951,0.9350154117534036,0.0048747740220278,"[29.126300299697043, 23.707798986245166, 25.70918457478645, 24.687413313717656, 24.660241262237776, 25.307191171294967, 24.970582545468233, 24.714305843373783, 23.665149953186308, 30.72128350380374, 25.65612068988457, 28.85126899280392, 27.580671683042823, 27.716020210928644, 25.003897023488197, 23.29264229207962, 23.761334209619925, 22.486352535057108, 21.4579752447928, 24.5479878829699, 23.120809523843505, 23.641065771065485, 25.73177678173428, 20.126899967702514, 24.17402931627972, 30.891802461361824, 27.52177827541462, 25.834648298962758, 24.55092250648491, 32.32897524422014, 25.03990426298223, 28.74211693525376, 28.445935767501204, 19.52257700851195, 24.83544358224894, 24.815905250952678, 23.461705308097546, 24.724336285564736]",513254,027bed2214453444,False,0.1,150.0,1.7777777777777777,9.060588836669922,13.27423095703125
train,0.5,path_aware_v5_weighted_sum,,18.07006411511536,0.8253488509278548,0.0172952511317194,"[17.18371721341264, 16.085602360819223, 24.94255017064354, 15.974900693569666, 19.425260037601902, 17.789611454208877, 14.771996783273568, 16.664452232480954, 15.733739090382116, 18.42496875880106, 16.244304370652294, 17.703474159584005, 18.37577888881042, 17.173128935195713, 15.604483666617213, 16.043716612530194, 12.170461706390967, 15.478117157793989, 13.80169187753809, 14.971856418271418, 13.529373672258062, 16.350602115772883, 27.789367950484735, 20.250340036648574, 32.28990867099356, 21.25191781538257, 17.572417247338844, 17.774953045458023, 17.355732757296625, 31.583061710930554, 18.089722262295744, 16.39055643509074, 16.87493786568122, 20.85192021727599, 16.373945574218894, 17.039011383320897, 15.084169747206213, 15.646685278151578]",513254,94fb641119f7f98d,False,0.1,150.0,1.7777777777777777,9.060588836669922,13.27423095703125
train,0.5,combined_0.7,0.7,22.486525163473107,0.9046648097665686,0.0089728491117344,"[25.49527988799202, 21.566069149819175, 25.163735280613814, 20.52132852426486, 21.859566315097343, 21.911749750152943, 22.898548122635482, 22.787875633105273, 22.680616985697576, 28.047575728952992, 22.520361728548252, 28.027140555399647, 25.141718388972045, 23.468742672230345, 20.68298332016714, 21.168060645833897, 13.538129475980572, 18.911209000800184, 18.837270972774412, 19.848727066613186, 19.33598963470473, 21.143240761912253, 25.661160262604092, 19.10632365179476, 21.496592585089452, 29.19018334275836, 25.52704196764416, 22.805380318779257, 21.836822702939543, 31.150784984513162, 22.171840130322526, 24.28099561846153, 22.39939882729733, 18.65717407173014, 20.22258979944985, 22.114884053018564, 21.014149313916143, 21.29671497939089]",513254,f7d8ba36fe791f41,False,0.1,150.0,1.7777777777777777,9.060588836669922,13.27423095703125
train,0.5,raster_importance,,25.528855345427377,0.9486220416269804,0.0048511384918942,"[31.37756585430219, 26.67950036707734, 25.80581845654344, 21.105021035200387, 25.196806343380572, 24.193309550675156, 23.31823504346728, 23.304640243258234, 24.53795528774578, 29.63655535964999, 22.760355174984834, 24.501654499378095, 26.76310230023054, 27.830198955496922, 23.42822928625069, 23.40877312851984, 24.5049230319062, 24.651089734830975, 22.646374102686316, 27.942776480982758, 26.88850819734059, 26.67115553250816, 24.769314741279803, 24.312675774768806, 18.430867939059677, 26.34027746262696, 22.513033647508713, 24.25055235316949, 21.77501230261834, 27.80314842332323, 27.325173168665998, 27.844972141591036, 27.750773518216548, 30.74059164845869, 29.228307060502118, 26.679797405632094, 25.382580200207407, 27.79687737219515]",513254,0ce8c78b84dfddd6,False,0.1,150.0,1.7777777777777777,9.060588836669922,13.27423095703125
train,0.5,random,,16.56916619383578,0.717227785995132,0.0292873115180746,"[15.341235358937237, 18.024940558802815, 17.692501695189346, 15.827357855591153, 16.104693217218543, 16.345718365455856, 15.902733728301053, 16.692058714004208, 16.290662826484766, 15.014886747571481, 16.94477623300429, 15.571828128585656, 15.226489503119765, 14.05535671828858, 14.481675689636479, 16.68622607005829, 13.06417861672305, 15.677340082375956, 14.29439908470125, 17.144327231060316, 14.887574117300858, 17.35531656255639, 16.577332731613076, 15.433865048271285, 15.461657499539353, 16.693182903980475, 17.5631434396819, 17.26017492905067, 17.465073965774735, 21.536538070340644, 19.659036757148076, 21.132186521799806, 20.39392872489296, 12.9071715907155, 17.545871299824928, 19.04375568262558, 15.812494491956832, 16.516624603576503]",513254,87c162d00e2e72a5,False,0.1,150.0,1.7777777777777777,9.060588836669922,13.27423095703125
