scene,keep_ratio,method,lambda,mean_psnr,mean_ssim,mean_lpips,per_pose_psnr,kept_count,mask_hash,path_use_pose_meta,path_near,path_far,path_aspect
kitchen,0.7,path_aware_v5_pure_sum,,28.835623595259314,0.9640276823725019,0.006819861614920748,"[13.525606663064924, 15.18775759254245, 19.902668839528076, 15.415223491534265, 16.590474513520164, 20.731539619543366, 36.988158788170686, 27.072855231129065, 12.113672572679327, 15.360710517358072, 16.729743891287782, 20.086097795520796, 25.26259632162592, 17.22581701737235, 37.20090162472776, 13.647222734528427, 34.474790488557915, 44.84650935002102, 29.782659220649652, 40.6288333737599, 34.208803616023154, 36.117519174449036, 52.52569671679265, 39.041830338469396, 31.29657248212089, 42.03926567556232, 36.30373182381639, 39.74353945636095, 51.42677007748215, 47.788832458919856, 45.054843674736624, 16.904660873770236, 21.440850597410762, 20.949911147242336, 21.630158073797375]",1296635,0e64eec57390adbe,True,0.1,6.771205766219746,1.4990375360923966
kitchen,0.5,path_aware_v5_pure_sum,,23.909910316860145,0.9422593644687107,0.009120040212292225,"[13.410720092696222, 15.081758343221708, 19.874189480690564, 15.331235213696443, 16.34782098711687, 20.427708322747293, 31.029882358845356, 26.153027000505205, 11.96499446665424, 14.717012654171242, 16.12340211053435, 19.816492790961316, 24.519181272205035, 16.23325850388927, 30.71062416743988, 13.493775201115225, 30.034127615869984, 30.97654185683911, 26.937576229383197, 31.289353471031845, 27.83332869847106, 28.89922922849959, 31.494872000594615, 29.69929802128013, 28.439147469165103, 31.688598432807893, 30.991353220291508, 31.38130616191226, 31.490311960565567, 34.01800317864387, 31.95075546693669, 16.23527647663699, 19.431741582716597, 19.47276710215157, 19.348189949817442]",926168,a73cb255ed8e86fd,True,0.1,6.771205766219746,1.4990375360923966
kitchen,0.3,path_aware_v5_pure_sum,,18.48816662670878,0.82584354025977,0.020491854473948478,"[13.037325537906392, 14.590070730960857, 19.74752036432669, 14.749226286162862, 13.56279571611328, 18.786449062960614, 22.270124424698395, 21.34612560660485, 11.727483079540178, 13.865467914329162, 15.02295788754574, 17.91748196203326, 20.515805721845595, 15.23775008150653, 20.961492307157393, 12.959826442796032, 22.424292339759496, 20.84309908692915, 20.40207463484533, 21.3003896440416, 19.020409808376424, 19.722179708382733, 20.865499639355036, 20.393028935983764, 20.062418677277346, 20.996317380830526, 21.54032910601551, 21.00094203955171, 20.442376254790936, 23.809803841485436, 21.48663292755129, 15.198411134723013, 17.133207697276248, 17.412422842497023, 16.73409310864685]",555701,4451af2981f0e08c,True,0.1,6.771205766219746,1.4990375360923966
room,0.7,path_aware_v5_pure_sum,,40.5963845740958,0.9715589086214701,0.0054260009465104475,"[60.635906529062495, 60.843055182319354, 62.72484230073431, 20.996351396437298, 14.797257685207363, 19.8516337152858, 19.74855733554942, 14.893969275737856, 19.58244982205453, 18.875202755876774, 21.72226382447116, 20.840412235208966, 21.092689605727696, 18.55768778435515, 15.010177257706205, 23.29019220330447, 24.748779746662464, 19.98219521511221, 60.759879234159385, 45.16206069976816, 52.53065152479942, 61.02990615168569, 60.076850528601824, 55.95751091030755, 48.35349410272738, 49.70046618474771, 46.7209975824867, 60.817638193211636, 59.81144622155533, 53.846790350751974, 61.597304176132624, 22.912832057117832, 14.097836210526932, 55.03431995305676, 49.377358998569115, 35.1699380847831, 73.14785355007699, 65.01154311853006, 73.94869668532651]",1115364,3e54b8dacbe4f753,True,0.1,8.801463838462876,1.5007228915662656
room,0.5,path_aware_v5_pure_sum,,32.84764404175318,0.9615997809630173,0.006331200162677329,"[45.63264265448167, 45.886555007800105, 46.055400999937994, 20.496629541651387, 14.362062646353822, 18.81102264036532, 19.340641833531524, 14.47974731919823, 18.54101856515313, 17.77461636372251, 21.274203587097233, 20.313165661290753, 20.38481554922379, 17.693087674503488, 14.54747737173018, 23.09038381564235, 22.357062201202336, 19.259288154120288, 45.133451810317865, 39.68782601605899, 40.221237902353465, 46.89680823727678, 44.94657093967995, 41.98884240778885, 38.181357438832265, 41.849721949700516, 34.00339723677896, 49.4917150339613, 43.626978979800825, 36.63421221513803, 49.28368302272343, 22.574435644604776, 13.58541910052848, 47.083760561750545, 35.38598828183628, 33.950578483375175, 51.72913872884293, 47.67271989003325, 56.83045215998534]",796688,6dd9c3c5e10712ca,True,0.1,8.801463838462876,1.5007228915662656
room,0.3,path_aware_v5_pure_sum,,26.1512713758211,0.9294498639229016,0.009711118815735413,"[34.74866503788499, 35.22030298663153, 35.63514248757276, 18.52229249384407, 13.44550804812351, 16.897349247452233, 17.65273680566675, 13.647603844991284, 16.527291617421824, 15.61986354410892, 19.326179762272314, 18.06709356766647, 17.812135529212284, 15.386327085975635, 13.653781994193606, 20.59220720869461, 17.835738621144795, 17.214935927277057, 34.49773481575829, 30.66530149323445, 33.50125289715111, 36.02955387045859, 33.143861155812104, 31.965109146552066, 33.54074087618291, 32.959964466126046, 24.927627150526966, 37.96987787697083, 33.27095341088946, 26.003997448960412, 36.80683185592846, 19.71909988926028, 12.888986363942479, 35.01939943118932, 25.37804912230024, 27.89518599666802, 36.38846606122042, 38.15546812677127, 41.36696639098466]",478013,d2dda7f64aea2f48,True,0.1,8.801463838462876,1.5007228915662656
counter,0.7,path_aware_v5_pure_sum,,30.719926287113122,0.9605373660723369,0.005990764918335623,"[42.88590690558241, 31.400712631511013, 27.954629122342368, 39.168070569349645, 25.9546182190941, 110.06569140704363, 30.94500593028188, 27.552113096665106, 49.150732717482555, 16.559530416140625, 17.97889476789625, 33.61329804920591, 24.542347242441487, 18.470194451690045, 32.16216171344477, 24.366990113422936, 15.870680481741212, 15.49296545909137, 39.82048421404089, 23.806619095906246, 20.167391961061597, 62.79963499018672, 25.365178135598825, 17.33562767499582, 19.8555517194947, 21.1524690930697, 20.776704728600798, 24.747253548243236, 28.814056749582583, 32.822273408185346]",856070,f52189ff28971043,True,0.1,6.898137581841741,1.5004816955684004
counter,0.5,path_aware_v5_pure_sum,,24.69490211402256,0.9446986456712086,0.010095542660201318,"[41.87823971032848, 24.296756608512908, 24.259320171248, 39.15183739037255, 24.8242699040647, 50.7408821067707, 29.79987170352595, 17.531596836164823, 46.4956090058742, 12.460770606221567, 16.291623995005224, 28.84052390859233, 21.929187982653097, 13.946350002985222, 28.86061385583549, 20.134573666475998, 12.312984163936786, 12.520840030477945, 39.70295394742112, 18.438942279698168, 15.98890204773841, 50.11232265980731, 20.379020803231782, 13.207311629544263, 16.22176589128449, 15.557557494491345, 17.313745765234913, 18.377585242586896, 22.890542429243503, 26.380561581348676]",611478,3e6772c8617f921f,True,0.1,6.898137581841741,1.5004816955684004
counter,0.3,path_aware_v5_pure_sum,,20.525100526015173,0.9110625465710958,0.012746698471407096,"[28.723700461892637, 22.941116534766913, 21.90530373103824, 28.007728280694728, 22.423914113449772, 28.015873892852717, 26.304076306004834, 16.85747549134962, 30.162355340695996, 11.41144277994417, 15.592711670134412, 26.68816045057618, 20.368407933802686, 13.236326685002206, 24.530609775005352, 17.38117830729402, 11.208783118978204, 11.49608296443702, 29.093489545248268, 16.562936633829814, 14.897696518783876, 36.67815618454092, 18.440371340956958, 12.577919762751183, 15.642423889138612, 14.782722396671112, 16.825552608554467, 17.723511796424646, 21.052471045077034, 24.220516220558434]",366887,d691f667b2808b5a,True,0.1,6.898137581841741,1.5004816955684004
truck,0.7,path_aware_v5_pure_sum,,21.904732072580998,0.9318635109812021,0.007201535110652912,"[19.47126433687907, 19.231807290296036, 21.600970558079027, 25.11698755941818, 26.209781724766824, 21.82540583047002, 24.899649399129903, 23.418382175404027, 20.307489657624302, 22.680286468453122, 19.936900905889765, 20.307969544472986, 18.369883899967355, 18.729481621841973, 17.65648192580517, 17.98394572134204, 20.891959308088566, 20.172147904158702, 22.704207070886902, 27.84121729592776, 24.86128192938925, 21.956115616422274, 21.415290202018568, 20.86048409068099, 27.66007253166763, 21.06033155353814, 22.892513541159666, 27.60655136731637, 22.406475945425747, 19.74815858094496, 21.95228851647947, 19.1756422486472]",1778859,d1eec72e73abb3c7,True,0.1,7.968305332900307,1.7937671860678281
truck,0.5,path_aware_v5_pure_sum,,14.888672952958807,0.8496033828705549,0.02585833062767051,"[10.88999333544981, 11.164452084807783, 14.799253520674092, 21.068958633019193, 20.324718295389793, 17.571429741813482, 20.39930093175986, 18.363214997747015, 13.370043861544119, 15.142220855164126, 11.209477526353709, 10.829438527379242, 10.269962389379579, 8.197137954786847, 8.962301820570433, 8.663708822978384, 13.336858672758831, 12.330716403435591, 18.523560295152688, 22.696091974909937, 19.360987490771947, 13.705789790474405, 11.42141615625102, 12.808585911442572, 23.37694459112638, 13.257123711186294, 18.204640366431196, 22.68359237161899, 17.389041142492538, 11.38724629359219, 13.39581935176662, 11.333506672453101]",1270613,0037833224813fb5,True,0.1,7.968305332900307,1.7937671860678281
truck,0.3,path_aware_v5_pure_sum,,14.341085309184397,0.8310219794511795,0.028682025760645047,"[10.855323945816423, 11.120071884118705, 14.501744890510517, 17.6993484829438, 17.526906520344326, 17.318542576880194, 18.000952532226172, 17.40156441446157, 12.861351430801829, 15.015187397184079, 11.128143450846759, 10.435429944115441, 10.136200411330588, 8.128316571636162, 8.926732358380285, 8.652583140757455, 13.307560038065855, 12.310682328065159, 15.921697540271262, 21.945281628308674, 18.93797867205796, 13.571472757451506, 11.367657444735675, 12.725055862394994, 23.302512912179544, 13.215245858875868, 17.764622925118584, 22.527588789008007, 16.672929626781766, 11.264368572323093, 13.186687214057287, 11.184987771851123]",762368,5f887e09d9e70a40,True,0.1,7.968305332900307,1.7937671860678281
train,0.7,path_aware_v5_pure_sum,,25.820829062947514,0.9619400814959878,0.0056695194873196,"[30.375870176915587, 29.647728667368597, 34.49676705054583, 26.395637081917926, 20.037973950134216, 21.268764586220264, 25.97001734613312, 26.159689515877073, 27.14508988857762, 28.86198772011476, 17.652422705728515, 44.46037860434921, 23.832346512454965, 20.550071901780843, 20.814325004708646, 18.86768673602432, 24.336576430925096, 17.71518452635553, 18.15329694862327, 21.020758077874717, 21.584675229465034, 23.510436288126503, 41.71898891892318, 20.237389032484998, 39.40074983808083, 29.136189522643974, 22.90477189068507, 21.726571045222375, 20.338956478670823, 49.16546851119712, 21.375009267488217, 23.745661613423184, 20.784571952399354, 26.997409967871235, 21.512664018276787, 22.740741350273773, 29.661091020415263, 26.8875850137276]",718556,ffaacf76d85e1fbc,True,0.1,10.21450692875354,1.7972477064220183
train,0.5,path_aware_v5_pure_sum,,20.705887535729243,0.8946661462909297,0.013333488231230723,"[21.588946018654013, 21.389415661192302, 25.117968010332646, 20.387800972527124, 18.182688585732063, 19.198166388368282, 21.029300583551795, 22.156742022446977, 21.710198832949736, 23.301086384376273, 16.67947440884522, 27.62368257920648, 21.596300314217046, 17.710961119382667, 18.72474746999719, 17.762977933301478, 13.638527041206984, 16.823049582356465, 16.704861904006474, 17.96417551447921, 18.472041208547154, 19.919997013065867, 27.643755899899208, 16.556129161824963, 27.779192730731282, 26.27929713999093, 20.99145656295547, 20.131267423695185, 19.503556054704315, 31.116345698548002, 19.207134943520877, 21.172332048880893, 18.33513275969739, 20.59095545306252, 17.579770543684717, 20.793431251221616, 19.673239389953984, 21.787619746596462]",513254,0d0de9399bf5c5d3,True,0.1,10.21450692875354,1.7972477064220183
train,0.3,path_aware_v5_pure_sum,,15.572464288424337,0.7496756326995397,0.03416885358379468,"[13.42008985166517, 15.960520837647712, 19.167406273476068, 15.262903983580223, 15.627316625390282, 15.769823759992496, 14.749854530303192, 17.32421505116687, 16.366854583282176, 16.802383374609033, 14.404579074206742, 16.039828924812284, 17.51898847263212, 15.43141720543159, 14.484473732664052, 14.968278124404623, 12.17510477552696, 14.863528301128746, 13.402995073520604, 13.61081551930942, 14.542434511960561, 15.566840283614248, 19.487838158740995, 14.882281691278614, 17.75208556663539, 18.16848249611305, 15.766295103518333, 16.741287425749903, 16.651769211490464, 24.629171509529733, 15.580752433138922, 14.742319739393555, 14.020308196172657, 7.073084011077606, 14.034350850879246, 16.238372663955513, 13.70253813527138, 14.822052896854174]",307953,c74c30b5f18e8f23,True,0.1,10.21450692875354,1.7972477064220183
